,imgurl,Player,Pos,GP,P,G1,G2,A,Sh,ShP,SOG,TO,CT,GB,FO,FOP,Sv,SvP,Jersey,Rank,Team
1,/static/media/whipsnakes_ic.960b263c.png,Matt Rambo,A,10,42,19,0,23,66,29%,34,20,0,9,0-0,-,-,-,9,1,WHIPSNAKES
2,/static/media/archers_ic.d2d97f6c.png,Tom Schreiber,M,10,37,15,2,18,60,28%,29,22,1,9,0-0,-,-,-,26,2,ARCHERS
3,/static/media/chrome_ic.0f37d38c.png,Justin Guterding,A,10,35,19,1,14,62,32%,38,18,0,15,0-0,-,-,-,14,3,CHROME
4,/static/media/redwoods_ic.7b9794c3.png,Jules Heningburg,A,10,33,21,0,12,54,39%,32,18,0,8,0-0,-,-,-,7,4,REDWOODS
5,/static/media/chaos_ic.a2debffb.png,Connor Fields,A,10,33,22,0,11,61,36%,49,37,4,15,0-0,-,-,-,5,5,CHAOS
6,/static/media/archers_ic.d2d97f6c.png,Marcus Holman,A,10,32,21,2,7,74,31%,43,19,0,17,0-0,-,-,-,1,6,ARCHERS
7,/static/media/chrome_ic.0f37d38c.png,Jordan Wolf,A,10,32,16,0,16,65,25%,38,24,1,12,0-0,-,-,-,33,7,CHROME
8,/static/media/archers_ic.d2d97f6c.png,Will Manny,A,10,30,21,1,7,74,30%,50,20,1,7,0-0,-,-,-,4,8,ARCHERS
9,/static/media/atlas_ic.3a51a780.png,Eric Law,A,10,30,20,0,10,34,59%,29,8,0,14,0-0,-,-,-,15,9,ATLAS
10,/static/media/chrome_ic.0f37d38c.png,Ned Crotty,M,10,27,16,1,9,46,37%,29,14,0,4,0-0,-,-,-,22,10,CHROME
11,/static/media/chaos_ic.a2debffb.png,Jake Froccaro,A,10,27,11,3,10,56,25%,35,7,4,17,0-5,-,-,-,54,11,CHAOS
12,/static/media/whipsnakes_ic.960b263c.png,Mike Chanenchuk,M,10,26,8,7,4,65,23%,31,11,0,2,0-0,-,-,-,1,12,WHIPSNAKES
13,/static/media/atlas_ic.3a51a780.png,Ryan Brown,A,10,25,20,1,3,81,26%,46,10,2,8,0-0,-,-,-,4,13,ATLAS
14,/static/media/atlas_ic.3a51a780.png,Kieran McArdle,A,10,25,12,0,13,43,28%,31,18,0,5,0-0,-,-,-,6,14,ATLAS
15,/static/media/chaos_ic.a2debffb.png,Josh Byrne,A,8,25,17,0,8,39,44%,25,7,3,11,0-0,-,-,-,22,15,CHAOS
16,/static/media/redwoods_ic.7b9794c3.png,Ryder Garnsey,A,9,24,14,0,10,40,35%,28,13,1,11,0-0,-,-,-,50,16,REDWOODS
17,/static/media/redwoods_ic.7b9794c3.png,Matt Kavanagh,A,9,24,14,1,8,54,28%,36,10,2,14,0-0,-,-,-,5,17,REDWOODS
18,/static/media/atlas_ic.3a51a780.png,Paul Rabil,M,10,23,10,1,11,47,23%,27,17,2,8,0-0,-,-,-,99,18,ATLAS
19,/static/media/chrome_ic.0f37d38c.png,Jordan MacIntosh,M,9,22,20,0,2,46,43%,33,13,3,26,0-3,-,-,-,24,19,CHROME
20,/static/media/atlas_ic.3a51a780.png,Connor Buczek,M,10,22,14,2,4,64,25%,42,13,2,6,0-0,-,-,-,33,20,ATLAS
21,/static/media/whipsnakes_ic.960b263c.png,Ryan Drenner,A,10,21,18,1,1,61,31%,37,6,0,10,0-0,-,-,-,22,21,WHIPSNAKES
22,/static/media/redwoods_ic.7b9794c3.png,Sergio Salcido,M,10,20,9,1,9,43,23%,20,5,0,10,0-0,-,-,-,48,22,REDWOODS
23,/static/media/redwoods_ic.7b9794c3.png,Joe Walters,M,10,20,9,0,11,42,21%,26,18,0,5,0-0,-,-,-,1,23,REDWOODS
24,/static/media/chaos_ic.a2debffb.png,Myles Jones,M,10,18,6,1,10,43,16%,19,20,3,9,0-0,-,-,-,15,24,CHAOS
25,/static/media/whipsnakes_ic.960b263c.png,Connor Kelly,M,8,18,10,0,8,41,24%,21,7,1,3,0-0,-,-,-,40,25,WHIPSNAKES
26,/static/media/chaos_ic.a2debffb.png,Miles Thompson,A,6,17,11,0,6,28,39%,17,5,1,7,0-0,-,-,-,2,26,CHAOS
27,/static/media/chrome_ic.0f37d38c.png,John Ranagan,M,10,17,10,2,3,32,38%,21,7,3,3,0-0,-,-,-,31,27,CHROME
28,/static/media/chrome_ic.0f37d38c.png,Matt Danowski,M,10,15,7,1,6,35,23%,20,8,1,3,0-0,-,-,-,40,28,CHROME
29,/static/media/atlas_ic.3a51a780.png,Chris Cloutier,A,8,14,9,0,5,27,33%,17,10,1,10,0-0,-,-,-,45,29,ATLAS
30,/static/media/atlas_ic.3a51a780.png,Joel Tinney,M,10,14,6,0,8,23,26%,17,6,2,8,0-0,-,-,-,55,30,ATLAS
31,/static/media/whipsnakes_ic.960b263c.png,Michael Ehrhardt,LSM,9,13,2,3,5,20,25%,14,2,6,25,4-12,33%,-,-,28,31,WHIPSNAKES
