,imgurl,Player,Pos,GP,P,G1,G2,A,Sh,ShP,SOG,TO,CT,GB,FO,FOP,Sv,SvP,Jersey,Rank,Team
87,/static/media/waterdogs_ic.aaa1d12f.png,Jake Withers,FO,5,1,0,0,1,1,-,1,0,3,14,34-59,58%,-,-,18,87,WATERDOGS
88,/static/media/whipsnakes_ic.960b263c.png,Isaac Paparo,LSM,6,1,0,0,1,0,-,0,0,0,2,0-0,-,-,-,43,88,WHIPSNAKES
89,/static/media/redwoods_ic.7b9794c3.png,Greg Puskuldjian,FO,6,1,0,0,1,1,-,1,1,2,8,22-62,35%,-,-,92,89,REDWOODS
90,/static/media/waterdogs_ic.aaa1d12f.png,Dan Eipp,M,5,1,1,0,0,1,100%,1,0,0,2,0-0,-,-,-,3,90,WATERDOGS
91,/static/media/chrome_ic.0f37d38c.png,Connor Farrell,FO,5,1,0,0,1,2,-,1,8,0,34,72-116,62%,-,-,25,91,CHROME
92,/static/media/archers_ic.d2d97f6c.png,Brendan Fowler,FO,6,1,1,0,0,2,50%,2,3,0,13,31-66,47%,-,-,3,92,ARCHERS
93,/static/media/atlas_ic.3a51a780.png,Joel Tinney,M,5,1,0,0,1,2,-,1,2,2,11,0-0,-,-,-,55,93,ATLAS
94,/static/media/atlas_ic.3a51a780.png,Craig Chick,LSM,5,1,0,0,1,0,-,0,1,5,13,0-0,-,-,-,21,94,ATLAS
95,/static/media/atlas_ic.3a51a780.png,Austin Pifani | null,,5,0,0,0,0,0,-,0,3,4,12,0-0,-,-,-,,95,ATLAS
96,/static/media/redwoods_ic.7b9794c3.png,Tyler Dunn,M,5,0,0,0,0,1,-,0,0,3,2,0-0,-,-,-,3,96,REDWOODS
97,/static/media/atlas_ic.3a51a780.png,Tucker Durkin,D,3,0,0,0,0,1,-,1,0,5,1,0-0,-,-,-,51,97,ATLAS
98,/static/media/archers_ic.d2d97f6c.png,Stephen Kelly,FO,6,0,0,0,0,1,-,0,3,0,23,40-81,49%,-,-,24,98,ARCHERS
99,/static/media/atlas_ic.3a51a780.png,Scott Rodgers,G,5,0,0,0,0,0,-,0,0,0,0,0-0,-,-,-,42,99,ATLAS
100,/static/media/redwoods_ic.7b9794c3.png,Peyton Smith,FO,6,0,0,0,0,0,-,0,1,0,9,25-66,38%,-,-,5,100,REDWOODS
101,/static/media/waterdogs_ic.aaa1d12f.png,Patrick Foley,D,5,0,0,0,0,0,-,0,1,3,3,0-0,-,-,-,9,101,WATERDOGS
102,/static/media/whipsnakes_ic.960b263c.png,Matthew Dunn,D,6,0,0,0,0,1,-,0,1,2,7,0-0,-,-,-,33,102,WHIPSNAKES
103,/static/media/chaos_ic.a2debffb.png,Matt Rees,LSM,7,0,0,0,0,4,-,2,3,3,17,0-0,-,-,-,44,103,CHAOS
104,/static/media/archers_ic.d2d97f6c.png,Matt McMahon,D,6,0,0,0,0,1,-,0,1,12,10,0-0,-,-,-,77,104,ARCHERS
105,/static/media/archers_ic.d2d97f6c.png,Mark McNeill,M,6,0,0,0,0,1,-,0,5,2,13,0-0,-,-,-,21,105,ARCHERS
106,/static/media/waterdogs_ic.aaa1d12f.png,Kyle McClancy,M,5,0,0,0,0,0,-,0,0,2,3,0-0,-,-,-,88,106,WATERDOGS
107,/static/media/atlas_ic.3a51a780.png,Kyle Hartzell,LSM,5,0,0,0,0,4,-,2,1,1,7,0-0,-,-,-,81,107,ATLAS
108,/static/media/chrome_ic.0f37d38c.png,Justin Turri,M,5,0,0,0,0,2,-,2,0,0,0,0-0,-,-,-,12,108,CHROME
109,/static/media/whipsnakes_ic.960b263c.png,Joseph McCallion,M,6,0,0,0,0,2,-,0,1,0,0,4-11,36%,-,-,3,109,WHIPSNAKES
110,/static/media/chaos_ic.a2debffb.png,Johnny Surdick,D,1,0,0,0,0,0,-,0,0,0,0,0-0,-,-,-,18,110,CHAOS
111,/static/media/chrome_ic.0f37d38c.png,Jesse Bernhardt,D,5,0,0,0,0,2,-,1,3,4,9,0-0,-,-,-,36,111,CHROME
112,/static/media/atlas_ic.3a51a780.png,Jeremy Thompson,M,5,0,0,0,0,0,-,0,0,0,0,0-7,-,-,-,74,112,ATLAS
113,/static/media/chaos_ic.a2debffb.png,Jarrod Neumann,D,7,0,0,0,0,4,-,2,6,7,16,0-0,-,-,-,88,113,CHAOS
114,/static/media/whipsnakes_ic.960b263c.png,Jake Bernhardt,M,6,0,0,0,0,2,-,2,2,7,2,0-0,-,-,-,83,114,WHIPSNAKES
115,/static/media/whipsnakes_ic.960b263c.png,Jacob Stover,G,6,0,0,0,0,1,-,1,0,0,1,0-0,-,-,-,0,115,WHIPSNAKES
116,/static/media/archers_ic.d2d97f6c.png,Jack Rapine,D,6,0,0,0,0,0,-,0,0,2,1,0-0,-,-,-,9,116,ARCHERS
117,/static/media/chrome_ic.0f37d38c.png,Hunter Forbes,FO,5,0,0,0,0,1,-,0,0,1,3,4-18,22%,-,-,88,117,CHROME
118,/static/media/redwoods_ic.7b9794c3.png,Hugh Crance,LSM,6,0,0,0,0,0,-,0,3,4,4,0-0,-,-,-,31,118,REDWOODS
119,/static/media/redwoods_ic.7b9794c3.png,Gunnar Waldt,G,6,0,0,0,0,0,-,0,0,0,0,0-0,-,-,-,14,119,REDWOODS
120,/static/media/redwoods_ic.7b9794c3.png,Garrett Epple,D,6,0,0,0,0,0,-,0,6,9,17,0-0,-,-,-,11,120,REDWOODS
121,/static/media/redwoods_ic.7b9794c3.png,Finn Sullivan,D,6,0,0,0,0,1,-,0,0,4,7,0-0,-,-,-,36,121,REDWOODS
122,/static/media/archers_ic.d2d97f6c.png,Eli Gobrecht,D,6,0,0,0,0,0,-,0,2,4,12,0-0,-,-,-,25,122,ARCHERS
123,/static/media/archers_ic.d2d97f6c.png,Dominique Alexander,M,6,0,0,0,0,0,-,0,1,2,2,0-0,-,-,-,23,123,ARCHERS
124,/static/media/chaos_ic.a2debffb.png,Dillon Ward,G,7,0,0,0,0,0,-,0,0,0,0,0-0,-,-,-,37,124,CHAOS
125,/static/media/chaos_ic.a2debffb.png,Dan Coates,D,7,0,0,0,0,0,-,0,1,6,6,0-0,-,-,-,57,125,CHAOS
126,/static/media/archers_ic.d2d97f6c.png,Curtis Corley,D,6,0,0,0,0,0,-,0,1,3,5,0-0,-,-,-,42,126,ARCHERS
127,/static/media/waterdogs_ic.aaa1d12f.png,Chris Sabia,D,5,0,0,0,0,3,-,1,2,5,10,0-0,-,-,-,16,127,WATERDOGS
128,/static/media/atlas_ic.3a51a780.png,Callum Robinson,D,5,0,0,0,0,1,-,0,0,0,3,1-3,33%,-,-,10,128,ATLAS
129,/static/media/whipsnakes_ic.960b263c.png,Bryce Young,D,6,0,0,0,0,1,-,0,1,3,9,0-0,-,-,-,6,129,WHIPSNAKES
130,/static/media/whipsnakes_ic.960b263c.png,Brett Schmidt,D,6,0,0,0,0,0,-,0,1,0,3,0-0,-,-,-,44,130,WHIPSNAKES
131,/static/media/chrome_ic.0f37d38c.png,Brett Queener,G,5,0,0,0,0,0,-,0,0,0,0,0-0,-,-,-,23,131,CHROME
132,/static/media/waterdogs_ic.aaa1d12f.png,BJ Grill,D,5,0,0,0,0,0,-,0,1,6,9,0-0,-,-,-,8,132,WATERDOGS
133,/static/media/whipsnakes_ic.960b263c.png,Tyler Warner,M,6,0,0,0,0,2,-,1,2,0,16,0-0,-,-,-,13,133,WHIPSNAKES
134,/static/media/archers_ic.d2d97f6c.png,Tyler Pfister,M,6,0,0,0,0,1,-,0,4,2,3,0-0,-,-,-,5,134,ARCHERS
135,/static/media/whipsnakes_ic.960b263c.png,TJ Comizio,M,6,0,0,0,0,0,-,0,1,1,6,0-0,-,-,-,84,135,WHIPSNAKES
136,/static/media/redwoods_ic.7b9794c3.png,Tim Troutner,G,6,0,0,0,0,4,-,1,2,3,12,0-0,-,71,56%,0,136,REDWOODS
137,/static/media/waterdogs_ic.aaa1d12f.png,Noah Richard,D,5,0,0,0,0,4,-,3,4,4,11,0-0,-,-,-,27,137,WATERDOGS
138,/static/media/redwoods_ic.7b9794c3.png,Nick Ossello,M,6,0,0,0,0,5,-,2,0,5,4,0-2,-,-,-,13,138,REDWOODS
139,/static/media/archers_ic.d2d97f6c.png,Mike Simon,LSM,6,0,0,0,0,1,-,0,2,1,5,0-0,-,-,-,66,139,ARCHERS
140,/static/media/waterdogs_ic.aaa1d12f.png,Matt DeLuca,G,5,0,0,0,0,1,-,0,2,2,1,0-0,-,27,59%,1,140,WATERDOGS
141,/static/media/whipsnakes_ic.960b263c.png,Kyle Bernlohr,G,6,0,0,0,0,0,-,0,3,1,12,0-0,-,83,63%,35,141,WHIPSNAKES
142,/static/media/redwoods_ic.7b9794c3.png,John Sexton,LSM,6,0,0,0,0,4,-,2,1,9,11,0-0,-,-,-,46,142,REDWOODS
143,/static/media/chrome_ic.0f37d38c.png,John Galloway,G,5,0,0,0,0,1,-,0,2,1,6,0-0,-,68,54%,15,143,CHROME
144,/static/media/atlas_ic.3a51a780.png,Jake Richard,M,5,0,0,0,0,0,-,0,1,1,1,0-0,-,-,-,27,144,ATLAS
145,/static/media/chrome_ic.0f37d38c.png,Jake Pulver,D,5,0,0,0,0,1,-,1,1,4,8,0-0,-,-,-,34,145,CHROME
146,/static/media/chaos_ic.a2debffb.png,Jack Rowlett,D,6,0,0,0,0,1,-,0,1,9,8,0-4,-,-,-,99,146,CHAOS
147,/static/media/atlas_ic.3a51a780.png,Jack Concannon,G,5,0,0,0,0,0,-,0,1,0,7,0-0,-,69,57%,12,147,ATLAS
148,/static/media/redwoods_ic.7b9794c3.png,Eddy Glazener,D,6,0,0,0,0,3,-,1,0,5,9,0-0,-,-,-,30,148,REDWOODS
149,/static/media/archers_ic.d2d97f6c.png,Drew Adams,G,6,0,0,0,0,1,-,0,0,0,4,0-0,-,41,49%,14,149,ARCHERS
150,/static/media/chrome_ic.0f37d38c.png,Donny Moss,D,5,0,0,0,0,1,-,0,0,2,2,0-0,-,-,-,80,150,CHROME
151,/static/media/waterdogs_ic.aaa1d12f.png,Charlie Cipriano,G,5,0,0,0,0,0,-,0,2,0,2,0-0,-,30,48%,12,151,WATERDOGS
152,/static/media/atlas_ic.3a51a780.png,Cade Van Raaphorst,D,5,0,0,0,0,4,-,0,2,12,21,0-0,-,-,-,77,152,ATLAS
153,/static/media/waterdogs_ic.aaa1d12f.png,Brodie Merrill,D,5,0,0,0,0,0,-,0,1,3,10,0-0,-,-,-,17,153,WATERDOGS
154,/static/media/chaos_ic.a2debffb.png,Blaze Riorden,G,7,0,0,0,0,3,-,1,5,1,10,0-0,-,119,61%,0,154,CHAOS
155,/static/media/archers_ic.d2d97f6c.png,Adam Ghitelman,G,6,0,0,0,0,2,-,0,0,1,5,0-0,-,31,58%,8,155,ARCHERS
